Iteration,RMSE,Time,method
0,12.2142,1,dsgd
0,12.2142,1,dsgd
0,12.2142,1,dsgd
0,12.2142,6,dsgd
0,11.5795,10,dsgd
100,11.2637,68,dsgd
0,11.6827,8,dsgd
100,10.8498,82,dsgd
0,11.6541,0,dsgd
100,10.9332,69,dsgd
0,11.5331,1,dsgd
100,10.2974,75,dsgd
200,9.71719,127,dsgd
200,9.28305,131,dsgd
100,9.66239,127,dsgd
100,9.92682,124,dsgd
0,11.6215,1,dsgd
200,8.87133,140,dsgd
100,8.90935,131,dsgd
200,8.24479,163,dsgd
300,8.15181,173,dsgd
0,9.90371,119,dsgd
300,7.59103,175,dsgd
200,7.35176,182,dsgd
200,7.3479,181,dsgd
300,7.10004,186,dsgd
100,8.17299,142,dsgd
200,6.66434,192,dsgd
300,6.59808,205,dsgd
400,6.55277,213,dsgd
400,6.14831,225,dsgd
100,6.9793,184,dsgd
100,6.31574,221,dsgd
300,5.89853,230,dsgd
300,5.8505,231,dsgd
400,5.65349,235,dsgd
400,5.4348,249,dsgd
300,5.46355,246,dsgd
500,5.4142,262,dsgd
200,5.57413,235,dsgd
500,5.1831,269,dsgd
400,4.79412,282,dsgd
600,4.56226,299,dsgd
500,4.73324,287,dsgd
400,4.55959,298,dsgd
600,4.4541,308,dsgd
400,4.74721,282,dsgd
200,4.99606,273,dsgd
500,4.59501,293,dsgd
200,4.7166,278,dsgd
700,4.23193,336,dsgd
700,4.02443,344,dsgd
500,4.24397,331,dsgd
300,4.29756,302,dsgd
500,4.02111,343,dsgd
600,4.00683,342,dsgd
500,3.9426,347,dsgd
800,3.72802,371,dsgd
600,3.81804,357,dsgd
800,3.65067,379,dsgd
300,3.73299,364,dsgd
600,3.51268,384,dsgd
300,3.76322,347,dsgd
900,3.37352,408,dsgd
600,3.43923,394,dsgd
600,3.38032,401,dsgd
900,3.35135,417,dsgd
700,3.38082,398,dsgd
700,3.33949,412,dsgd
400,3.27125,422,dsgd
1000,3.02099,447,dsgd
700,3.11808,432,dsgd
400,3.36577,384,dsgd
700,3.01956,447,dsgd
1000,3.00028,456,dsgd
800,2.97394,458,dsgd
700,2.96623,451,dsgd
1100,2.84606,484,dsgd
800,2.92884,472,dsgd
400,3.00423,440,dsgd
1100,2.75271,494,dsgd
800,2.8102,485,dsgd
800,2.75101,494,dsgd
900,2.72013,505,dsgd
500,2.83389,474,dsgd
1200,2.64924,522,dsgd
800,2.66804,509,dsgd
900,2.60265,525,dsgd
500,2.67328,495,dsgd
1200,2.55593,534,dsgd
900,2.50945,542,dsgd
900,2.51906,541,dsgd
500,2.54502,529,dsgd
1000,2.47388,557,dsgd
1300,2.45105,562,dsgd
600,2.47571,552,dsgd
1300,2.35071,573,dsgd
900,2.38824,564,dsgd
1000,2.36054,572,dsgd
1100,2.22756,598,dsgd
600,2.22466,597,dsgd
