Iteration,RMSE,Time,method
0,12.0583,0,fsgd
0,12.0583,0,fsgd
0,12.0583,0,fsgd
0,12.0583,0,fsgd
0,12.0583,9,fsgd
0,12.0583,0,fsgd
0,12.0583,9,fsgd
0,11.9529,0,fsgd
0,11.9253,9,fsgd
0,11.7533,0,fsgd
100,1.67165,58,fsgd
100,1.37537,65,fsgd
100,1.35733,69,fsgd
100,1.35411,65,fsgd
100,1.56058,60,fsgd
100,1.29926,68,fsgd
100,1.34083,65,fsgd
100,1.61882,59,fsgd
100,1.45995,62,fsgd
200,0.796604,117,fsgd
200,0.780946,118,fsgd
200,0.787139,117,fsgd
200,0.764652,120,fsgd
200,0.817097,115,fsgd
200,0.750158,123,fsgd
200,0.81493,114,fsgd
200,0.815351,115,fsgd
200,0.737237,123,fsgd
100,0.5825,166,fsgd
300,0.570557,168,fsgd
300,0.576323,167,fsgd
300,0.562605,169,fsgd
300,0.553457,174,fsgd
300,0.561034,170,fsgd
300,0.559089,170,fsgd
300,0.559558,170,fsgd
300,0.550816,170,fsgd
400,0.486753,217,fsgd
400,0.488435,216,fsgd
400,0.478011,219,fsgd
400,0.465251,225,fsgd
400,0.473963,220,fsgd
400,0.481769,217,fsgd
200,0.462318,225,fsgd
400,0.461899,227,fsgd
500,0.418969,266,fsgd
500,0.417242,269,fsgd
500,0.417242,269,fsgd
500,0.416999,269,fsgd
300,0.416986,271,fsgd
400,0.416325,269,fsgd
500,0.415265,268,fsgd
500,0.410796,279,fsgd
500,0.408445,278,fsgd
600,0.375817,325,fsgd
600,0.380283,320,fsgd
400,0.375705,326,fsgd
600,0.375627,326,fsgd
600,0.376867,323,fsgd
600,0.372418,328,fsgd
300,0.373433,326,fsgd
600,0.372111,327,fsgd
700,0.349905,373,fsgd
700,0.349746,374,fsgd
500,0.353804,366,fsgd
500,0.349678,373,fsgd
700,0.348746,377,fsgd
700,0.348677,378,fsgd
600,0.349362,374,fsgd
700,0.347727,376,fsgd
400,0.346625,377,fsgd
800,0.329546,422,fsgd
700,0.329393,422,fsgd
600,0.327936,426,fsgd
700,0.329333,422,fsgd
800,0.327991,425,fsgd
800,0.325839,430,fsgd
600,0.326232,427,fsgd
800,0.325536,431,fsgd
500,0.32389,428,fsgd
900,0.307675,475,fsgd
900,0.306203,481,fsgd
700,0.306745,477,fsgd
800,0.305698,483,fsgd
900,0.305854,480,fsgd
900,0.306512,477,fsgd
600,0.305794,481,fsgd
800,0.306916,476,fsgd
700,0.306188,478,fsgd
800,0.290825,530,fsgd
1000,0.290654,530,fsgd
900,0.290396,531,fsgd
800,0.290937,528,fsgd
700,0.290791,529,fsgd
1000,0.28987,537,fsgd
1000,0.291043,529,fsgd
1000,0.290017,533,fsgd
900,0.289897,529,fsgd
1100,0.276717,579,fsgd
1100,0.278065,576,fsgd
900,0.275899,582,fsgd
900,0.275282,585,fsgd
1100,0.275916,582,fsgd
1000,0.275441,585,fsgd
800,0.274881,585,fsgd
1100,0.276345,577,fsgd
1000,0.27366,582,fsgd
1000,0.262268,635,fsgd
1200,0.263082,631,fsgd
1200,0.262127,636,fsgd
1200,0.263002,631,fsgd
1100,0.26248,634,fsgd
1200,0.261057,639,fsgd
900,0.260112,637,fsgd
1300,0.252697,670,fsgd
1300,0.252172,671,fsgd
1200,0.251341,674,fsgd
1100,0.251071,676,fsgd
800,0.250635,677,fsgd
1300,0.250881,673,fsgd
1000,0.249429,675,fsgd
1300,0.243732,714,fsgd
1200,0.242798,715,fsgd
1400,0.243609,712,fsgd
1400,0.241299,719,fsgd
1100,0.240294,722,fsgd
900,0.240171,722,fsgd
1000,0.239694,721,fsgd
1300,0.231619,761,fsgd
1500,0.232409,757,fsgd
1100,0.233982,753,fsgd
1400,0.231304,761,fsgd
1400,0.231476,761,fsgd
1300,0.232383,755,fsgd
1200,0.225782,791,fsgd
1500,0.225768,791,fsgd
1400,0.225509,796,fsgd
1500,0.224835,800,fsgd
1600,0.224825,797,fsgd
1000,0.224525,798,fsgd
1200,0.223819,797,fsgd
1500,0.217851,835,fsgd
1300,0.21776,835,fsgd
1600,0.21766,836,fsgd
1600,0.217029,834,fsgd
1500,0.217499,832,fsgd
1100,0.217383,832,fsgd
1400,0.213113,865,fsgd
1700,0.212382,866,fsgd
1600,0.211674,870,fsgd
1700,0.211605,871,fsgd
1400,0.211649,870,fsgd
1100,0.210903,873,fsgd
1800,0.205809,908,fsgd
1500,0.206333,901,fsgd
1700,0.205692,910,fsgd
1800,0.205686,911,fsgd
1200,0.205708,910,fsgd
1600,0.205699,910,fsgd
1700,0.205699,910,fsgd
1900,0.201871,946,fsgd
1800,0.201753,948,fsgd
1200,0.20189,946,fsgd
1900,0.201625,951,fsgd
1600,0.201762,947,fsgd
1500,0.201482,955,fsgd
1300,0.20085,953,fsgd
1700,0.200796,954,fsgd
1800,0.20048,961,fsgd
1900,0.197234,996,fsgd
1300,0.19709,997,fsgd
2000,0.196321,1003,fsgd
2000,0.196257,1004,fsgd
1700,0.196049,1004,fsgd
1300,0.196107,999,fsgd
1400,0.195704,1006,fsgd
2100,0.191943,1044,fsgd
2100,0.19174,1046,fsgd
2000,0.191701,1046,fsgd
1800,0.191005,1047,fsgd
1400,0.191126,1048,fsgd
1900,0.191882,1040,fsgd
1600,0.188169,1081,fsgd
2200,0.187903,1085,fsgd
2200,0.187601,1088,fsgd
2100,0.187519,1088,fsgd
1500,0.187427,1087,fsgd
1800,0.18749,1088,fsgd
2300,0.184566,1125,fsgd
2300,0.184416,1128,fsgd
1700,0.184272,1131,fsgd
2200,0.18433,1130,fsgd
1500,0.184162,1132,fsgd
1900,0.18412,1125,fsgd
1600,0.183789,1132,fsgd
1400,0.183731,1133,fsgd
2400,0.180657,1179,fsgd
2400,0.180719,1177,fsgd
1900,0.180919,1174,fsgd
1800,0.180354,1182,fsgd
1600,0.180529,1179,fsgd
2000,0.180227,1183,fsgd
2000,0.18024,1182,fsgd
2500,0.177776,1217,fsgd
2300,0.177451,1221,fsgd
1900,0.177312,1223,fsgd
1500,0.177372,1224,fsgd
2500,0.176991,1228,fsgd
2000,0.177139,1219,fsgd
1700,0.176929,1224,fsgd
2000,0.174248,1263,fsgd
2600,0.173897,1269,fsgd
2600,0.173933,1268,fsgd
1600,0.173995,1265,fsgd
1700,0.173496,1272,fsgd
2100,0.173743,1271,fsgd
2100,0.171118,1305,fsgd
2400,0.171144,1303,fsgd
2700,0.171028,1306,fsgd
2700,0.170981,1309,fsgd
2100,0.170939,1302,fsgd
